0	15	0
0	30	0
0	45	0
0	60	0
50	15	0
50	30	0
50	45	0
50	60	0
100	15	0
100	30	0
100	45	0
100	60	0
200	15	0
200	30	0
200	45	0
200	60	0
300	15	0
300	30	0
300	45	0
300	60	0
400	15	0
400	30	0
400	45	0
400	60	0
500	15	0
500	30	0
500	45	0
500	60	0
600	15	0
600	30	0
600	45	0
600	60	0
700	15	0
700	30	0
700	45	0
700	60	0
0	15	1
0	30	1
0	45	1
0	60	1
50	15	1
50	30	1
50	45	1
50	60	1
100	15	1
100	30	1
100	45	1
100	60	1
200	15	1
200	30	1
200	45	1
200	60	1
300	15	1
300	30	1
300	45	1
300	60	1
400	15	1
400	30	1
400	45	1
400	60	1
500	15	1
500	30	1
500	45	1
500	60	1
600	15	1
600	30	1
600	45	1
600	60	1
700	15	1
700	30	1
700	45	1
700	60	1
